route_long_name,Cart. Grigorescu - P-ta 1 Mai
service_name,Luni - Vineri
service_start,03.07.2023
in_stop_name,Disp. Grigorescu
out_stop_name,P-ta 1 Mai
05:06,05:25
05:25,05:45
05:50,06:10
06:10,06:30
06:30,06:50
06:55,07:20
07:18,07:45
07:45,08:15
08:16,08:41
08:45,09:10
09:30,09:55
10:20,10:45
11:10,11:35
12:05,12:30
12:55,13:20
13:20,13:45
13:45,14:10
14:12,14:40
14:37,15:05
15:05,15:30
15:30,15:55
15:55,16:18
16:20,16:42
16:50,17:15
17:50,18:15
19:05,19:30
20:00,20:20
20:50,21:10
21:40,22:05
