route_long_name, P-ta M. Viteazul-Aeroport Terminal
service_name,Luni - Vineri
service_start,25.09.2022
in_stop_name,P-ta M. Viteazul Vest
out_stop_name,Aeroport Terminal
04:00,04:30
04:30,05:00
05:00,05:30
05:30,06:00
06:00,06:30
06:30,07:00
07:00,07:30
07:30,08:00
08:00,08:30
08:30,09:00
09:30,10:00
11:30,12:00
12:30,13:00
13:00,13:30
13:30,14:00
14:00,14:30
14:30,15:00
15:00,15:30
16:00,16:30
17:00,17:30
18:00,18:30
19:00,19:00
19:30,19:30
20:00,20:00
20:30,20:30
21:00,21:00
21:30,21:30
22:30,22:00
,23:00

