route_long_name,Bucium - Floresti Sesul de Sus
service_name,Luni-Vineri
service_start,16.10.2023
in_stop_name,Disp. Bucium
out_stop_name,M-Sesu de Sus Pl.
04:50,04:42
05:10,05:08
05:22,05:30
05:34,05:42
05:42,05:54
05:52,06:04
05:58,06:14
06:04,06:22
06:09,06:28
06:14,06:32
06:20,06:36
06:32,06:40
07:00,06:55
07:18,07:10
07:36,07:25
07:54,07:45
08:05,08:00
08:20,08:10
08:31,08:20
08:42,08:30
08:56,08:42
09:12,08:54
09:27,09:06
09:40,09:20
10:00,09:35
10:15,09:50
10:35,10:10
10:55,10:25
11:10,10:40
11:25,11:00
11:45,11:20
12:00,11:35
12:12,11:50
12:24,12:10
12:36,12:23
12:48,12:36
13:00,12:46
13:12,13:00
13:24,13:12
13:36,13:24
13:48,13:36
14:00,13:48
14:13,14:00
14:25,14:13
14:37,14:25
14:50,14:40
15:07,14:55
15:20,15:05
15:32,15:20
15:48,15:37
16:04,15:50
16:18,16:02
16:30,16:18
16:45,16:35
17:00,16:48
17:16,17:00
17:30,17:16
17:45,17:32
18:07,17:48
18:25,18:05
18:42,18:20
19:02,18:35
19:20,18:55
19:40,19:10
19:55,19:30
20:10,19:45
20:25,20:05
20:48,20:20
21:15,20:35
21:42,20:50
22:00,21:15
22:40,21:30
,22:05
,22:20
,22:55







