route_long_name,Cluj-Napoca - Floresti / Cetate
service_name,Luni - Vineri
service_start,16.10.2023
in_stop_name,Cluj-Napoca
out_stop_name,M-Floresti Cetate Pl.
,04:44
,05:10
,05:28
,05:40
,05:52
,06:00
,06:04
,06:08
,06:12
,06:16
,06:20
,06:30
,06:41
,06:52
,07:03
,07:15
,07:30
,07:45
,07:55
,08:05
,08:15
08:45-12:00,08:22
15-20 min,08:35
,08:48
,09:00
,09:12
,09:24
,09:37
,09:50
,10:05
,10:20
,10:35
,10:55
,11:15
,11:30
,11:50
12:00-18:30,12:10
7-10 min,12:25
,12:40
,12:50
,13:00
,13:10
,13:18
,13:25
,13:32
,13:40
,13:48
,13:54
,14:02
,14:10
,14:20
,14:28
,14:36
,14:44
,14:53
,15:01
,15:09
,15:18
,15:27
,15:36
,15:44
,15:52
,16:00
,16:09
,16:18
,16:28
,16:38
,16:48
,16:58
,17:08
,17:16
,17:24
,17:32
,17:40
,17:50
,18:00
,18:10
,18:20
18:30-22:40,18:32
15-20 min,18:45
,18:58
,19:10
,19:22
,19:35
,19:50
,20:05
,20:20
,20:35
,20:50
,21:05
,21:25
,21:40
,21:55
,22:10
,22:35




